r,ae,crenbl,lanl2tz,mdfstu,uc,mwbstu,ccECP
1.72,-0.089129,-0.08831789,-0.08713727,-0.08835623,-0.088674,-0.08905365,-0.08867175
1.82,-0.087177,-0.08640738,-0.08526757,-0.08651317,-0.086776,-0.08704543,-0.08681094
1.92,-0.082499,-0.08176367,-0.0806956,-0.08191286,-0.08213999999999999,-0.08229997,-0.08219396
2.02,-0.076115,-0.07542452,-0.07444539,-0.07560029,-0.075804,-0.07586117,-0.07586201
2.12,-0.068749,-0.06811455,-0.06723716,-0.06830327,-0.068497,-0.06845997,-0.06854573
2.22,-0.060913,-0.06034785,-0.05958342,-0.06053987,-0.06073200000000001,-0.06060927,-0.06076156
2.32,-0.052987,-0.0524956,-0.05184995,-0.05268298,-0.052876,-0.05268053,-0.05288247
2.42,-0.045242000000000004,-0.04482234,-0.04429377,-0.04500053,-0.045199,-0.04493879,-0.0451771
2.52,-0.037875,-0.03752245,-0.03710392,-0.03768657,-0.037889,-0.03757931,-0.03784045
